Date,Open,High,Low,Close,Volume,Adj Close
2016-05-02,409.0,429.0,409.0,427.0,19400,427.0
2016-05-03,427.0,427.0,427.0,427.0,0,427.0
2016-05-04,427.0,427.0,427.0,427.0,0,427.0
2016-05-05,427.0,427.0,427.0,427.0,0,427.0
2016-05-06,435.0,435.0,428.0,433.0,15000,433.0
2016-05-09,434.0,445.0,433.0,438.0,22700,438.0
2016-05-10,445.0,455.0,438.0,449.0,49700,449.0
2016-05-11,465.0,465.0,450.0,459.0,38400,459.0
2016-05-12,466.0,475.0,462.0,475.0,90600,475.0
2016-05-13,464.0,465.0,438.0,444.0,75300,444.0
2016-05-16,443.0,447.0,430.0,443.0,35500,443.0
2016-05-17,444.0,444.0,427.0,427.0,39400,427.0
2016-05-18,425.0,432.0,424.0,429.0,56400,429.0
2016-05-19,433.0,434.0,423.0,426.0,28800,426.0
2016-05-20,425.0,425.0,405.0,414.0,49600,414.0
2016-05-23,422.0,425.0,419.0,420.0,19600,420.0
2016-05-24,420.0,420.0,407.0,408.0,43900,408.0
2016-05-25,417.0,418.0,410.0,411.0,30100,411.0
2016-05-26,418.0,418.0,408.0,408.0,21300,408.0
2016-05-27,408.0,411.0,405.0,406.0,31600,406.0
2016-05-30,407.0,414.0,407.0,408.0,20700,408.0
2016-05-31,412.0,416.0,408.0,410.0,27200,410.0
2016-06-01,410.0,412.0,404.0,410.0,45000,410.0
2016-06-02,412.0,412.0,399.0,404.0,55700,404.0
2016-06-03,405.0,405.0,402.0,405.0,22000,405.0
2016-06-06,402.0,405.0,401.0,404.0,12100,404.0
2016-06-07,404.0,404.0,396.0,399.0,70000,399.0
2016-06-08,415.0,423.0,407.0,417.0,73400,417.0
2016-06-09,420.0,423.0,414.0,414.0,37100,414.0
2016-06-10,420.0,423.0,418.0,420.0,27600,420.0
